-2,-0.034907,0.034899,0.999391,0.034921,2.000,1.5,3.000
-2,-0.034907,0.034899,0.999391,0.034921,15000,1.5,22500
-1,-0.017453,0.017452,0.999848,0.017455,-8000,0.8,-6400
0,0.000000,0.000000,1.000000,0.000000,0,0.0,0
1,0.017453,0.017452,0.999848,0.017455,5000,-0.5,-2500
2,0.034907,0.034899,0.999391,0.034921,12000,1.2,14400
3,0.052360,0.052336,0.998630,0.052408,-20000,1.8,-36000
4,0.069813,0.069756,0.997564,0.069927,32000,-0.7,-22400
5,0.087266,0.087156,0.996195,0.087489,-15000,1.5,-22500
6,0.104720,0.104528,0.994522,0.105104,8000,0.4,3200
7,0.122173,0.121869,0.992546,0.122785,25000,1.9,47500
8,0.139626,0.139173,0.990268,0.140541,-32000,-1.9,60800
9,0.157080,0.156434,0.987688,0.158384,18000,0.6,10800
10,0.174533,0.173648,0.984808,0.176327,-5000,1.1,-5500
11,0.191986,0.190809,0.981627,0.194380,28000,-0.3,-8400
12,0.209440,0.207912,0.978148,0.212557,-18000,1.7,-30600
13,0.226893,0.224951,0.974370,0.230868,7000,0.9,6300
14,0.244346,0.241922,0.970296,0.249328,32000,-1.0,-32000
15,0.261799,0.258819,0.965926,0.267949,-22000,1.4,-30800
16,0.279253,0.275637,0.961262,0.286745,12000,0.2,2400
17,0.296706,0.292372,0.956305,0.305731,-8000,1.6,-12800
18,0.314159,0.309017,0.951057,0.324919,25000,-0.8,-20000
19,0.331613,0.325568,0.945519,0.344327,-15000,1.3,-19500
20,0.349066,0.342020,0.939693,0.363970,30000,0.5,15000
21,0.366519,0.358368,0.933580,0.383864,-10000,1.9,-19000
22,0.383972,0.374607,0.927184,0.404026,18000,-0.4,-7200
23,0.401426,0.390731,0.920505,0.424475,-28000,1.1,-30800
24,0.418879,0.406737,0.913545,0.445228,9000,0.7,6300
25,0.436332,0.422618,0.906308,0.466308,32000,-1.2,-38400
26,0.453786,0.438371,0.898794,0.487733,-12000,1.5,-18000
27,0.471239,0.453990,0.891007,0.509525,20000,0.3,6000
28,0.488692,0.469472,0.882948,0.531709,-5000,1.8,-9000
