-89.1664,-1.5562,-0.9999,0.0145
-89.0891,-1.5549,-0.9999,0.0159
-89.0062,-1.5535,-0.9998,0.0173
-88.7488,-1.5490,-0.9998,0.0218
-88.3447,-1.5419,-0.9996,0.0289
-88.0494,-1.5368,-0.9994,0.0340
-88.0210,-1.5363,-0.9994,0.0345
-87.9565,-1.5351,-0.9994,0.0357
-87.8124,-1.5326,-0.9993,0.0382
-87.6599,-1.5300,-0.9992,0.0408
-87.6432,-1.5297,-0.9992,0.0411
-87.4094,-1.5256,-0.9990,0.0452
-87.3822,-1.5251,-0.9990,0.0457
-87.2180,-1.5222,-0.9988,0.0485
-87.0144,-1.5187,-0.9986,0.0521
-86.7404,-1.5139,-0.9984,0.0569
-86.7203,-1.5136,-0.9984,0.0572
-86.6899,-1.5130,-0.9983,0.0577
-86.4523,-1.5089,-0.9981,0.0619
-86.3874,-1.5077,-0.9980,0.0630
-86.2950,-1.5061,-0.9979,0.0646
-85.9557,-1.5002,-0.9975,0.0705
-85.8113,-1.4977,-0.9973,0.0730
-85.6233,-1.4944,-0.9971,0.0763
-85.4371,-1.4912,-0.9968,0.0796
-85.4307,-1.4910,-0.9968,0.0797
-85.4248,-1.4909,-0.9968,0.0798
-85.2541,-1.4880,-0.9966,0.0827
-85.2282,-1.4875,-0.9965,0.0832
-85.2244,-1.4874,-0.9965,0.0833
-85.1229,-1.4857,-0.9964,0.0850
-84.8193,-1.4804,-0.9959,0.0903
-84.5102,-1.4750,-0.9954,0.0957
-84.3872,-1.4728,-0.9952,0.0978
-84.3429,-1.4721,-0.9951,0.0986
-83.9644,-1.4655,-0.9945,0.1051
-83.8103,-1.4628,-0.9942,0.1078
-83.5306,-1.4579,-0.9936,0.1127
-83.4213,-1.4560,-0.9934,0.1146
-83.3972,-1.4556,-0.9934,0.1150
-83.3605,-1.4549,-0.9933,0.1156
-83.2775,-1.4535,-0.9931,0.1171
-82.9240,-1.4473,-0.9924,0.1232
-82.6690,-1.4428,-0.9918,0.1276
-82.6607,-1.4427,-0.9918,0.1277
-82.6438,-1.4424,-0.9918,0.1280
-82.2314,-1.4352,-0.9908,0.1352
-81.8608,-1.4287,-0.9899,0.1416
-81.8593,-1.4287,-0.9899,0.1416
-81.8455,-1.4285,-0.9899,0.1418
-81.8198,-1.4280,-0.9898,0.1423
-81.7197,-1.4263,-0.9896,0.1440
-81.6391,-1.4249,-0.9894,0.1454
-81.5463,-1.4233,-0.9891,0.1470
-80.7435,-1.4092,-0.9870,0.1609
-80.7340,-1.4091,-0.9870,0.1610
-80.6975,-1.4084,-0.9868,0.1616
-80.6720,-1.4080,-0.9868,0.1621
-80.1431,-1.3988,-0.9852,0.1712
-79.8656,-1.3939,-0.9844,0.1760
-79.8526,-1.3937,-0.9844,0.1762
-79.6396,-1.3900,-0.9837,0.1798
-79.5451,-1.3883,-0.9834,0.1815
-79.0062,-1.3789,-0.9816,0.1907
-78.5927,-1.3717,-0.9802,0.1978
-78.5597,-1.3711,-0.9801,0.1983
-78.2909,-1.3664,-0.9792,0.2029
-78.1726,-1.3644,-0.9788,0.2050
